voxel_id,fix_x,fix_y,original_id
vase_0280_x85_y40_aug_16_5,8,172,vase_0280_x85_y40
sink_0031_x60_y5_aug_17_5,5,-53,sink_0031_x60_y5
bathtub_0015_x80_y85_aug_18_5,9,-172,bathtub_0015_x80_y85
laptop_0045_x15_y170_aug_19_5,7,-103,laptop_0045_x15_y170
vase_0543_x10_y50_aug_20_5,6,122,vase_0543_x10_y50
chair_0689_x30_y20_aug_21_5,5,123,chair_0689_x30_y20
table_0457_x50_y70_aug_22_5,6,-60,table_0457_x50_y70
sink_0029_x85_y120_aug_23_5,6,-121,sink_0029_x85_y120
bench_0121_x90_y90_aug_24_5,5,-7,bench_0121_x90_y90
cup_0081_x0_y85_aug_25_5,6,150,cup_0081_x0_y85
sofa_0256_x90_y5_aug_26_5,7,-67,sofa_0256_x90_y5
sofa_0715_x120_y45_aug_27_5,7,-179,sofa_0715_x120_y45
bottle_0095_x55_y130_aug_28_5,9,-119,bottle_0095_x55_y130
vase_0131_x50_y175_aug_29_5,7,67,vase_0131_x50_y175
chair_0145_x115_y45_aug_30_5,9,54,chair_0145_x115_y45
bottle_0207_x165_y0_aug_31_5,7,-40,bottle_0207_x165_y0
mantel_0144_x15_y65_aug_32_5,6,-74,mantel_0144_x15_y65
chair_0298_x165_y40_aug_33_5,9,-44,chair_0298_x165_y40
vase_0510_x25_y20_aug_34_5,9,66,vase_0510_x25_y20
tent_0132_x95_y90_aug_35_5,7,69,tent_0132_x95_y90
bookshelf_0265_x10_y175_aug_36_5,8,126,bookshelf_0265_x10_y175
vase_0196_x15_y40_aug_37_5,7,153,vase_0196_x15_y40
vase_0493_x80_y80_aug_38_5,8,128,vase_0493_x80_y80
tent_0180_x70_y45_aug_39_5,6,-170,tent_0180_x70_y45
bathtub_0122_x10_y170_aug_40_5,8,-88,bathtub_0122_x10_y170
chair_0545_x40_y120_aug_41_5,9,180,chair_0545_x40_y120
laptop_0045_x125_y30_aug_42_5,8,-110,laptop_0045_x125_y30
stairs_0113_x55_y135_aug_43_5,6,-99,stairs_0113_x55_y135
vase_0369_x60_y115_aug_44_5,6,-110,vase_0369_x60_y115
vase_0285_x15_y80_aug_45_5,8,118,vase_0285_x15_y80
vase_0493_x135_y10_aug_46_5,9,-63,vase_0493_x135_y10
bookshelf_0259_x135_y65_aug_47_5,8,-34,bookshelf_0259_x135_y65
bowl_0050_x170_y70_aug_48_5,6,-62,bowl_0050_x170_y70
vase_0458_x80_y130_aug_49_5,8,47,vase_0458_x80_y130
sofa_0209_x170_y85_aug_0_10,12,-40,sofa_0209_x170_y85
dresser_0115_x155_y110_aug_1_10,10,-107,dresser_0115_x155_y110
cone_0071_x85_y35_aug_2_10,10,-57,cone_0071_x85_y35
vase_0332_x160_y50_aug_3_10,13,111,vase_0332_x160_y50
bed_0163_x155_y155_aug_4_10,10,20,bed_0163_x155_y155
bottle_0207_x145_y75_aug_5_10,14,66,bottle_0207_x145_y75
bowl_0011_x125_y165_aug_6_10,10,26,bowl_0011_x125_y165
xbox_0026_x20_y100_aug_7_10,11,-159,xbox_0026_x20_y100
chair_0545_x70_y70_aug_8_10,14,169,chair_0545_x70_y70
mantel_0144_x165_y65_aug_9_10,13,-42,mantel_0144_x165_y65
chair_0545_x130_y5_aug_10_10,10,2,chair_0545_x130_y5
chair_0028_x145_y90_aug_11_10,11,-137,chair_0028_x145_y90
chair_0928_x60_y135_aug_12_10,14,101,chair_0928_x60_y135
cup_0076_x95_y50_aug_13_10,13,-159,cup_0076_x95_y50
vase_0285_x175_y110_aug_14_10,12,24,vase_0285_x175_y110
bench_0091_x135_y155_aug_15_10,13,-144,bench_0091_x135_y155
cone_0078_x25_y65_aug_16_10,10,116,cone_0078_x25_y65
bottle_0348_x60_y65_aug_17_10,11,-74,bottle_0348_x60_y65
chair_0028_x110_y10_aug_18_10,10,-78,chair_0028_x110_y10
toilet_0357_x110_y140_aug_19_10,14,-6,toilet_0357_x110_y140
sofa_0395_x10_y130_aug_20_10,11,-114,sofa_0395_x10_y130
vase_0280_x105_y20_aug_21_10,11,16,vase_0280_x105_y20
stairs_0053_x120_y55_aug_22_10,12,-156,stairs_0053_x120_y55
vase_0196_x40_y100_aug_23_10,10,-119,vase_0196_x40_y100
cup_0071_x120_y120_aug_24_10,12,23,cup_0071_x120_y120
cone_0143_x70_y130_aug_25_10,11,-5,cone_0143_x70_y130
bathtub_0148_x25_y10_aug_26_10,13,171,bathtub_0148_x25_y10
sofa_0409_x70_y135_aug_27_10,10,94,sofa_0409_x70_y135
sofa_0541_x95_y145_aug_28_10,10,-16,sofa_0541_x95_y145
vase_0166_x135_y125_aug_29_10,11,170,vase_0166_x135_y125
cup_0076_x135_y100_aug_30_10,11,-52,cup_0076_x135_y100
cone_0143_x140_y115_aug_31_10,12,147,cone_0143_x140_y115
sofa_0011_x0_y40_aug_32_10,10,-30,sofa_0011_x0_y40
sofa_0209_x40_y165_aug_33_10,14,176,sofa_0209_x40_y165
cup_0022_x90_y120_aug_34_10,10,-19,cup_0022_x90_y120
tent_0180_x155_y65_aug_35_10,14,1,tent_0180_x155_y65
vase_0090_x155_y20_aug_36_10,10,-65,vase_0090_x155_y20
vase_0332_x125_y90_aug_37_10,14,-17,vase_0332_x125_y90
bowl_0068_x150_y115_aug_38_10,11,150,bowl_0068_x150_y115
sofa_0011_x15_y120_aug_39_10,14,-132,sofa_0011_x15_y120
bottle_0301_x105_y25_aug_40_10,14,25,bottle_0301_x105_y25
table_0044_x140_y110_aug_41_10,10,69,table_0044_x140_y110
vase_0280_x155_y85_aug_42_10,13,141,vase_0280_x155_y85
bed_0275_x115_y0_aug_43_10,10,-10,bed_0275_x115_y0
chair_0858_x80_y25_aug_44_10,10,-75,chair_0858_x80_y25
chair_0241_x30_y95_aug_45_10,12,131,chair_0241_x30_y95
cup_0053_x65_y10_aug_46_10,12,76,cup_0053_x65_y10
chair_0610_x150_y140_aug_47_10,10,90,chair_0610_x150_y140
sofa_0548_x50_y35_aug_48_10,11,156,sofa_0548_x50_y35
vase_0123_x115_y140_aug_49_10,13,55,vase_0123_x115_y140
bookshelf_0564_x95_y135_aug_0_15,15,-77,bookshelf_0564_x95_y135
lamp_0107_x15_y0_aug_1_15,16,-37,lamp_0107_x15_y0
dresser_0115_x85_y160_aug_2_15,17,-148,dresser_0115_x85_y160
sofa_0216_x155_y115_aug_3_15,19,-129,sofa_0216_x155_y115
chair_0039_x160_y35_aug_4_15,17,-155,chair_0039_x160_y35
vase_0193_x135_y110_aug_5_15,17,-102,vase_0193_x135_y110
bathtub_0041_x115_y95_aug_6_15,18,115,bathtub_0041_x115_y95
cone_0143_x10_y15_aug_7_15,19,86,cone_0143_x10_y15
bench_0121_x145_y115_aug_8_15,19,-82,bench_0121_x145_y115
bathtub_0041_x35_y55_aug_9_15,15,-61,bathtub_0041_x35_y55
chair_0298_x80_y15_aug_10_15,17,-98,chair_0298_x80_y15
bowl_0011_x30_y20_aug_11_15,16,25,bowl_0011_x30_y20
cone_0063_x160_y0_aug_12_15,16,-60,cone_0063_x160_y0
car_0286_x135_y60_aug_13_15,18,-101,car_0286_x135_y60
cone_0063_x175_y50_aug_14_15,16,-34,cone_0063_x175_y50
chair_0014_x40_y90_aug_15_15,17,71,chair_0014_x40_y90
vase_0160_x150_y10_aug_16_15,16,-159,vase_0160_x150_y10
dresser_0045_x105_y90_aug_17_15,19,86,dresser_0045_x105_y90
stairs_0113_x25_y155_aug_18_15,16,-135,stairs_0113_x25_y155
cup_0066_x25_y140_aug_19_15,16,83,cup_0066_x25_y140
bowl_0050_x50_y10_aug_20_15,19,-79,bowl_0050_x50_y10
vase_0332_x20_y20_aug_21_15,19,121,vase_0332_x20_y20
bench_0121_x145_y115_aug_22_15,15,-179,bench_0121_x145_y115
mantel_0066_x5_y80_aug_23_15,16,99,mantel_0066_x5_y80
vase_0285_x60_y90_aug_24_15,19,-82,vase_0285_x60_y90
cup_0071_x160_y170_aug_25_15,15,169,cup_0071_x160_y170
curtain_0050_x120_y150_aug_26_15,19,-35,curtain_0050_x120_y150
stool_0017_x100_y100_aug_27_15,15,-142,stool_0017_x100_y100
bench_0078_x70_y50_aug_28_15,18,-120,bench_0078_x70_y50
sofa_0548_x10_y100_aug_29_15,19,-163,sofa_0548_x10_y100
chair_0028_x85_y45_aug_30_15,16,70,chair_0028_x85_y45
vase_0050_x130_y110_aug_31_15,15,109,vase_0050_x130_y110
cup_0065_x25_y100_aug_32_15,17,58,cup_0065_x25_y100
bench_0046_x0_y125_aug_33_15,17,53,bench_0046_x0_y125
bowl_0053_x70_y25_aug_34_15,16,20,bowl_0053_x70_y25
bottle_0205_x105_y90_aug_35_15,18,71,bottle_0205_x105_y90
person_0075_x145_y130_aug_36_15,15,-140,person_0075_x145_y130
bottle_0348_x85_y30_aug_37_15,19,-59,bottle_0348_x85_y30
xbox_0089_x35_y150_aug_38_15,17,-21,xbox_0089_x35_y150
bowl_0053_x65_y140_aug_39_15,15,-13,bowl_0053_x65_y140
dresser_0255_x0_y120_aug_40_15,16,36,dresser_0255_x0_y120
bottle_0348_x15_y80_aug_41_15,16,-49,bottle_0348_x15_y80
chair_0689_x75_y0_aug_42_15,17,-131,chair_0689_x75_y0
vase_0247_x85_y135_aug_43_15,17,-46,vase_0247_x85_y135
bookshelf_0343_x40_y145_aug_44_15,16,-103,bookshelf_0343_x40_y145
bottle_0301_x55_y85_aug_45_15,18,-127,bottle_0301_x55_y85
dresser_0248_x20_y15_aug_46_15,16,18,dresser_0248_x20_y15
vase_0196_x15_y40_aug_47_15,17,37,vase_0196_x15_y40
bottle_0122_x10_y150_aug_48_15,16,-179,bottle_0122_x10_y150
curtain_0030_x135_y170_aug_49_15,16,148,curtain_0030_x135_y170
bowl_0068_x145_y145_aug_0_20,20,169,bowl_0068_x145_y145
dresser_0115_x45_y0_aug_1_20,22,-61,dresser_0115_x45_y0
vase_0069_x85_y20_aug_2_20,20,154,vase_0069_x85_y20
table_0449_x85_y175_aug_3_20,21,134,table_0449_x85_y175
bowl_0029_x5_y90_aug_4_20,22,166,bowl_0029_x5_y90
sink_0029_x25_y40_aug_5_20,22,77,sink_0029_x25_y40
sofa_0715_x165_y110_aug_6_20,23,113,sofa_0715_x165_y110
chair_0397_x80_y125_aug_7_20,22,-35,chair_0397_x80_y125
chair_0545_x140_y100_aug_8_20,23,-41,chair_0545_x140_y100
bowl_0050_x25_y5_aug_9_20,21,-126,bowl_0050_x25_y5
sofa_0502_x85_y15_aug_10_20,21,97,sofa_0502_x85_y15
vase_0482_x160_y160_aug_11_20,20,-108,vase_0482_x160_y160
vase_0332_x55_y0_aug_12_20,20,68,vase_0332_x55_y0
person_0075_x95_y105_aug_13_20,24,115,person_0075_x95_y105
chair_0298_x15_y45_aug_14_20,23,-76,chair_0298_x15_y45
lamp_0025_x20_y90_aug_15_20,24,29,lamp_0025_x20_y90
chair_0014_x20_y125_aug_16_20,21,-122,chair_0014_x20_y125
dresser_0045_x10_y165_aug_17_20,23,-111,dresser_0045_x10_y165
stairs_0113_x50_y30_aug_18_20,24,-155,stairs_0113_x50_y30
vase_0247_x70_y85_aug_19_20,21,-127,vase_0247_x70_y85
bottle_0395_x10_y85_aug_20_20,23,117,bottle_0395_x10_y85
vase_0379_x105_y100_aug_21_20,21,85,vase_0379_x105_y100
bottle_0095_x105_y50_aug_22_20,20,-35,bottle_0095_x105_y50
stairs_0113_x140_y165_aug_23_20,21,146,stairs_0113_x140_y165
toilet_0357_x0_y40_aug_24_20,22,70,toilet_0357_x0_y40
cup_0066_x95_y5_aug_25_20,21,-149,cup_0066_x95_y5
toilet_0281_x45_y150_aug_26_20,23,9,toilet_0281_x45_y150
lamp_0025_x20_y110_aug_27_20,23,-96,lamp_0025_x20_y110
vase_0196_x35_y100_aug_28_20,23,177,vase_0196_x35_y100
person_0013_x175_y45_aug_29_20,24,132,person_0013_x175_y45
vase_0369_x120_y65_aug_30_20,22,-56,vase_0369_x120_y65
sofa_0216_x100_y60_aug_31_20,21,7,sofa_0216_x100_y60
chair_0928_x65_y40_aug_32_20,24,118,chair_0928_x65_y40
lamp_0083_x150_y170_aug_33_20,20,-133,lamp_0083_x150_y170
vase_0280_x95_y105_aug_34_20,21,25,vase_0280_x95_y105
sink_0029_x160_y75_aug_35_20,24,-78,sink_0029_x160_y75
cup_0066_x15_y155_aug_36_20,24,25,cup_0066_x15_y155
vase_0311_x145_y15_aug_37_20,22,4,vase_0311_x145_y15
vase_0379_x100_y145_aug_38_20,22,32,vase_0379_x100_y145
stairs_0053_x120_y55_aug_39_20,21,126,stairs_0053_x120_y55
vase_0369_x45_y110_aug_40_20,20,70,vase_0369_x45_y110
chair_0928_x75_y175_aug_41_20,21,-56,chair_0928_x75_y175
bowl_0081_x20_y175_aug_42_20,20,52,bowl_0081_x20_y175
bowl_0061_x30_y50_aug_43_20,24,37,bowl_0061_x30_y50
vase_0379_x135_y5_aug_44_20,20,56,vase_0379_x135_y5
sofa_0554_x30_y125_aug_45_20,23,-163,sofa_0554_x30_y125
toilet_0281_x65_y150_aug_46_20,24,8,toilet_0281_x65_y150
vase_0543_x100_y160_aug_47_20,20,-92,vase_0543_x100_y160
toilet_0357_x0_y40_aug_48_20,23,4,toilet_0357_x0_y40
vase_0379_x115_y80_aug_49_20,24,-44,vase_0379_x115_y80
xbox_0026_x80_y150_aug_0_25,29,7,xbox_0026_x80_y150
bookshelf_0268_x120_y45_aug_1_25,26,19,bookshelf_0268_x120_y45
table_0044_x145_y125_aug_2_25,26,86,table_0044_x145_y125
cone_0143_x65_y40_aug_3_25,27,-9,cone_0143_x65_y40
bottle_0270_x120_y70_aug_4_25,25,-129,bottle_0270_x120_y70
bottle_0348_x175_y145_aug_5_25,26,133,bottle_0348_x175_y145
tent_0132_x15_y80_aug_6_25,26,-72,tent_0132_x15_y80
bowl_0081_x100_y150_aug_7_25,27,-121,bowl_0081_x100_y150
dresser_0115_x125_y135_aug_8_25,27,-31,dresser_0115_x125_y135
curtain_0011_x105_y145_aug_9_25,26,-172,curtain_0011_x105_y145
vase_0262_x80_y100_aug_10_25,28,44,vase_0262_x80_y100
bowl_0068_x160_y125_aug_11_25,25,29,bowl_0068_x160_y125
chair_0298_x20_y45_aug_12_25,29,37,chair_0298_x20_y45
table_0111_x90_y65_aug_13_25,29,129,table_0111_x90_y65
sofa_0515_x135_y150_aug_14_25,25,131,sofa_0515_x135_y150
bookshelf_0107_x115_y45_aug_15_25,26,-140,bookshelf_0107_x115_y45
vase_0131_x115_y90_aug_16_25,28,-130,vase_0131_x115_y90
toilet_0357_x35_y80_aug_17_25,29,-109,toilet_0357_x35_y80
toilet_0281_x155_y50_aug_18_25,28,38,toilet_0281_x155_y50
vase_0280_x80_y110_aug_19_25,25,78,vase_0280_x80_y110
cone_0143_x140_y35_aug_20_25,27,116,cone_0143_x140_y35
door_0001_x30_y90_aug_21_25,27,-117,door_0001_x30_y90
vase_0199_x80_y145_aug_22_25,25,-6,vase_0199_x80_y145
vase_0275_x40_y130_aug_23_25,29,-87,vase_0275_x40_y130
chair_0606_x145_y15_aug_24_25,25,85,chair_0606_x145_y15
cup_0025_x0_y15_aug_25_25,28,-18,cup_0025_x0_y15
dresser_0115_x65_y150_aug_26_25,28,47,dresser_0115_x65_y150
chair_0610_x70_y10_aug_27_25,25,10,chair_0610_x70_y10
curtain_0030_x65_y160_aug_28_25,29,-67,curtain_0030_x65_y160
bathtub_0015_x20_y170_aug_29_25,26,156,bathtub_0015_x20_y170
sofa_0409_x155_y15_aug_30_25,25,53,sofa_0409_x155_y15
chair_0466_x35_y140_aug_31_25,25,37,chair_0466_x35_y140
bottle_0205_x135_y140_aug_32_25,28,79,bottle_0205_x135_y140
cup_0098_x55_y125_aug_33_25,28,168,cup_0098_x55_y125
bathtub_0122_x100_y50_aug_34_25,29,64,bathtub_0122_x100_y50
sofa_0554_x90_y5_aug_35_25,29,150,sofa_0554_x90_y5
bowl_0029_x90_y155_aug_36_25,26,52,bowl_0029_x90_y155
sofa_0216_x75_y70_aug_37_25,26,53,sofa_0216_x75_y70
bed_0275_x35_y5_aug_38_25,26,156,bed_0275_x35_y5
lamp_0107_x10_y90_aug_39_25,25,99,lamp_0107_x10_y90
bookshelf_0504_x120_y170_aug_40_25,26,89,bookshelf_0504_x120_y170
bowl_0081_x135_y105_aug_41_25,25,-54,bowl_0081_x135_y105
bookshelf_0107_x20_y55_aug_42_25,25,7,bookshelf_0107_x20_y55
chair_0606_x115_y120_aug_43_25,28,-63,chair_0606_x115_y120
bowl_0052_x115_y110_aug_44_25,27,127,bowl_0052_x115_y110
vase_0199_x40_y115_aug_45_25,26,-104,vase_0199_x40_y115
lamp_0107_x105_y175_aug_46_25,29,53,lamp_0107_x105_y175
bottle_0205_x65_y70_aug_47_25,27,-108,bottle_0205_x65_y70
vase_0285_x70_y165_aug_48_25,28,68,vase_0285_x70_y165
xbox_0089_x40_y5_aug_49_25,27,-67,xbox_0089_x40_y5
stairs_0053_x150_y5_aug_0_30,31,-158,stairs_0053_x150_y5
cup_0053_x75_y100_aug_1_30,33,141,cup_0053_x75_y100
bottle_0122_x10_y150_aug_2_30,32,139,bottle_0122_x10_y150
vase_0166_x85_y5_aug_3_30,31,-128,vase_0166_x85_y5
chair_0545_x70_y70_aug_4_30,34,-166,chair_0545_x70_y70
bottle_0348_x160_y30_aug_5_30,32,180,bottle_0348_x160_y30
vase_0268_x125_y0_aug_6_30,34,-39,vase_0268_x125_y0
toilet_0281_x45_y150_aug_7_30,33,113,toilet_0281_x45_y150
bottle_0019_x155_y95_aug_8_30,30,-145,bottle_0019_x155_y95
bowl_0011_x95_y110_aug_9_30,32,78,bowl_0011_x95_y110
xbox_0089_x35_y150_aug_10_30,34,-106,xbox_0089_x35_y150
car_0286_x0_y150_aug_11_30,31,-48,car_0286_x0_y150
chair_0689_x25_y150_aug_12_30,32,-32,chair_0689_x25_y150
bottle_0207_x65_y100_aug_13_30,30,15,bottle_0207_x65_y100
bench_0046_x65_y35_aug_14_30,33,125,bench_0046_x65_y35
vase_0123_x55_y120_aug_15_30,31,140,vase_0123_x55_y120
bottle_0095_x165_y150_aug_16_30,30,-81,bottle_0095_x165_y150
vase_0411_x135_y35_aug_17_30,34,-88,vase_0411_x135_y35
table_0111_x75_y145_aug_18_30,31,26,table_0111_x75_y145
bookshelf_0564_x115_y140_aug_19_30,30,-116,bookshelf_0564_x115_y140
cone_0071_x40_y85_aug_20_30,32,-132,cone_0071_x40_y85
vase_0268_x175_y70_aug_21_30,31,71,vase_0268_x175_y70
chair_0241_x50_y70_aug_22_30,33,-134,chair_0241_x50_y70
bookshelf_0564_x140_y100_aug_23_30,33,170,bookshelf_0564_x140_y100
vase_0174_x90_y140_aug_24_30,34,-28,vase_0174_x90_y140
vase_0190_x40_y135_aug_25_30,34,111,vase_0190_x40_y135
bowl_0042_x0_y25_aug_26_30,30,0,bowl_0042_x0_y25
piano_0135_x45_y15_aug_27_30,30,-118,piano_0135_x45_y15
chair_0039_x80_y165_aug_28_30,33,8,chair_0039_x80_y165
person_0013_x125_y115_aug_29_30,34,-91,person_0013_x125_y115
chair_0298_x20_y110_aug_30_30,34,-110,chair_0298_x20_y110
bowl_0058_x20_y35_aug_31_30,32,57,bowl_0058_x20_y35
cup_0071_x95_y25_aug_32_30,34,87,cup_0071_x95_y25
vase_0369_x130_y55_aug_33_30,32,-69,vase_0369_x130_y55
stool_0017_x160_y150_aug_34_30,30,-60,stool_0017_x160_y150
bottle_0006_x110_y130_aug_35_30,31,-79,bottle_0006_x110_y130
toilet_0379_x130_y145_aug_36_30,32,8,toilet_0379_x130_y145
sofa_0715_x160_y60_aug_37_30,30,68,sofa_0715_x160_y60
bowl_0081_x100_y150_aug_38_30,31,39,bowl_0081_x100_y150
vase_0515_x105_y105_aug_39_30,31,164,vase_0515_x105_y105
bathtub_0041_x100_y40_aug_40_30,30,-60,bathtub_0041_x100_y40
bookshelf_0268_x90_y130_aug_41_30,30,22,bookshelf_0268_x90_y130
vase_0280_x105_y20_aug_42_30,31,-99,vase_0280_x105_y20
vase_0247_x150_y170_aug_43_30,33,133,vase_0247_x150_y170
sofa_0715_x165_y110_aug_44_30,30,-4,sofa_0715_x165_y110
chair_0397_x80_y165_aug_45_30,33,19,chair_0397_x80_y165
dresser_0115_x140_y115_aug_46_30,31,-166,dresser_0115_x140_y115
chair_0466_x40_y155_aug_47_30,34,-87,chair_0466_x40_y155
cup_0025_x125_y155_aug_48_30,33,135,cup_0025_x125_y155
chair_0466_x95_y140_aug_49_30,31,96,chair_0466_x95_y140
sofa_0515_x20_y160_aug_0_35,35,-19,sofa_0515_x20_y160
sofa_0502_x45_y145_aug_1_35,36,-72,sofa_0502_x45_y145
sofa_0256_x0_y90_aug_2_35,38,-46,sofa_0256_x0_y90
bookshelf_0107_x30_y35_aug_3_35,35,-84,bookshelf_0107_x30_y35
bookshelf_0320_x130_y60_aug_4_35,39,-162,bookshelf_0320_x130_y60
bowl_0011_x75_y15_aug_5_35,38,-164,bowl_0011_x75_y15
toilet_0281_x155_y50_aug_6_35,35,24,toilet_0281_x155_y50
vase_0131_x65_y60_aug_7_35,36,-34,vase_0131_x65_y60
toilet_0281_x35_y170_aug_8_35,37,175,toilet_0281_x35_y170
sofa_0395_x155_y100_aug_9_35,35,-68,sofa_0395_x155_y100
vase_0510_x130_y170_aug_10_35,35,-116,vase_0510_x130_y170
toilet_0379_x25_y140_aug_11_35,37,140,toilet_0379_x25_y140
cup_0053_x10_y155_aug_12_35,35,-10,cup_0053_x10_y155
bottle_0122_x165_y175_aug_13_35,39,-114,bottle_0122_x165_y175
bowl_0061_x0_y20_aug_14_35,38,59,bowl_0061_x0_y20
bottle_0348_x130_y120_aug_15_35,36,104,bottle_0348_x130_y120
chair_0466_x60_y135_aug_16_35,38,-106,chair_0466_x60_y135
cup_0081_x150_y0_aug_17_35,37,-29,cup_0081_x150_y0
sofa_0610_x5_y175_aug_18_35,35,-88,sofa_0610_x5_y175
stool_0017_x160_y150_aug_19_35,37,22,stool_0017_x160_y150
vase_0123_x40_y60_aug_20_35,36,33,vase_0123_x40_y60
chair_0858_x170_y0_aug_21_35,36,-79,chair_0858_x170_y0
laptop_0121_x155_y145_aug_22_35,38,50,laptop_0121_x155_y145
bottle_0006_x150_y155_aug_23_35,36,-131,bottle_0006_x150_y155
sofa_0502_x170_y85_aug_24_35,38,175,sofa_0502_x170_y85
cup_0081_x65_y145_aug_25_35,39,116,cup_0081_x65_y145
chair_0610_x80_y10_aug_26_35,35,36,chair_0610_x80_y10
vase_0131_x80_y60_aug_27_35,38,-148,vase_0131_x80_y60
stairs_0113_x0_y145_aug_28_35,37,99,stairs_0113_x0_y145
chair_0241_x30_y95_aug_29_35,36,114,chair_0241_x30_y95
bookshelf_0504_x55_y155_aug_30_35,38,34,bookshelf_0504_x55_y155
person_0013_x165_y45_aug_31_35,35,48,person_0013_x165_y45
